epoch,IoU_Score
1.0,0.03475864247598782
2.0,0.06582587742186918
3.0,0.08200274309811252
4.0,0.09932930832801219
5.0,0.1760320062438699
6.0,0.23942860362525856
7.0,0.2785434146534428
8.0,0.31148632375866814
9.0,0.3207716612582466
10.0,0.3318980295110678
11.0,0.3368858507151715
12.0,0.3586554894953971
13.0,0.36833042072481975
14.0,0.37635304046408996
15.0,0.38336181568185485
16.0,0.39029854779891837
17.0,0.3967411821391816
18.0,0.4051752713416247
19.0,0.41608623383621557
20.0,0.42088593768710914
21.0,0.42429025791637043
22.0,0.4302407137562629
23.0,0.4322796356505754
24.0,0.44015080948872853
25.0,0.45027314565483245
26.0,0.45731000143153416
27.0,0.46876066317673226
28.0,0.4729140438633491
29.0,0.47996841556629566
30.0,0.4649035629281582
31.0,0.45745587313508107
32.0,0.47377087530882517
33.0,0.49240909117998
34.0,0.4885782916015483
35.0,0.48664038056947323
36.0,0.4894782786427987
37.0,0.49462692515748385
38.0,0.5031085655151772
39.0,0.5114791417165635
40.0,0.504469699744325
41.0,0.502134452842299
42.0,0.5095741184500753
43.0,0.5177543395914622
44.0,0.5190070059929336
45.0,0.5100690928586786
46.0,0.5037740630542874
47.0,0.49527740223246774
48.0,0.4950614333069057
49.0,0.5072497671718895
50.0,0.5220675974374586
51.0,0.5349485629425345
52.0,0.5305380338528303
53.0,0.5386183748248873
54.0,0.5374144720157678
55.0,0.5398729505016604
56.0,0.5449477631452976
57.0,0.5526784189583537
58.0,0.5490458056732473
59.0,0.5366724644283503
60.0,0.5431532340179939
61.0,0.5476388804746571
62.0,0.5493764009647876
63.0,0.5605323677971275
64.0,0.5616307346942447
65.0,0.5532556278201601
66.0,0.5499871334826102
67.0,0.5543886162997954
68.0,0.5698069170004407
69.0,0.5759608809251976
70.0,0.5658993237884063
71.0,0.5636378689985182
72.0,0.5760460450995524
73.0,0.5845556496417167
74.0,0.573724971612556
75.0,0.5842803444864191
76.0,0.5742081078715299
77.0,0.5736426219218546
78.0,0.5628720911101309
79.0,0.5811195041741146
80.0,0.5852157843630619
81.0,0.5941225633949857
82.0,0.5938770424377544
83.0,0.5935129791753818
84.0,0.5961524253489642
85.0,0.599062909153602
86.0,0.5864778914000618
87.0,0.5839980482360467
88.0,0.5997093053082349
89.0,0.5980702344785703
90.0,0.5987981350622454
91.0,0.609642170514395
92.0,0.6139273409703472
93.0,0.6153376646960159
94.0,0.6133817163216098
95.0,0.6190862559565983
96.0,0.6124885133825825
97.0,0.6288562838831144
98.0,0.6382832262819776
99.0,0.6415413329568908
100.0,0.6391011977186021
101.0,0.6379446888922465
102.0,0.6373585312099062
103.0,0.6469426504812495
104.0,0.6460336718517002
105.0,0.6468262854552443
106.0,0.6512275656558023
107.0,0.6527415301084951
108.0,0.660706870367989
109.0,0.6627610693947134
110.0,0.6804169051146312
111.0,0.6834532605441278
112.0,0.673648991054084
113.0,0.6735585436838025
114.0,0.6912675961442194
115.0,0.6892047231935063
116.0,0.6849861772736792
117.0,0.6926376470579623
118.0,0.6954336197249604
119.0,0.6973358415241776
120.0,0.6906523609041161
121.0,0.7024657306676825
122.0,0.6972069864560412
123.0,0.6829306102673466
124.0,0.6699474874946508
125.0,0.6910216076982436
126.0,0.6940882315445855
127.0,0.7067191102086254
128.0,0.7192289872515673
129.0,0.7373969887539733
130.0,0.740128256945746
131.0,0.7305392572776211
132.0,0.7228500816866517
133.0,0.7320011005307957
134.0,0.7374920330088717
135.0,0.7510559970067757
136.0,0.7510469788951771
137.0,0.748189383893549
138.0,0.7458340626045049
139.0,0.7183919789852448
140.0,0.7093512722044154
141.0,0.7127906470047608
142.0,0.7238675602065087
143.0,0.7366673338554812
144.0,0.7495822075680025
145.0,0.7514199937656556
146.0,0.7495652938637887
147.0,0.7469803936757731
148.0,0.731540452884557
149.0,0.7439089689847862
150.0,0.7469868420793466
151.0,0.7502801078270162
152.0,0.7600926593589613
153.0,0.7512108528213342
154.0,0.7492629608126822
155.0,0.7518496207176562
156.0,0.749486575186439
157.0,0.750840023777276
158.0,0.7617698583801422
159.0,0.7521789559527865
160.0,0.7315169384643119
161.0,0.7226579887769812
162.0,0.7325797860994658
163.0,0.7438582897257355
164.0,0.7509596322291342
165.0,0.761239973292589
166.0,0.7633650854666274
167.0,0.7739950519869856
168.0,0.7761672466613403
169.0,0.7744996734847012
170.0,0.7681246544937269
171.0,0.7771455102417315
172.0,0.7812160512624937
173.0,0.7814552492593906
174.0,0.7817742291092115
175.0,0.7714966496836505
176.0,0.7746671068891465
177.0,0.7791448652273382
178.0,0.7884112078053227
179.0,0.7892102576560486
180.0,0.7888385511383599
181.0,0.7902737886608333
182.0,0.7908671017298026
183.0,0.7847145825592551
184.0,0.7890033323559668
185.0,0.7912329089117985
186.0,0.7996927942089976
187.0,0.802566589561599
188.0,0.7973616658943992
189.0,0.7965797244743517
190.0,0.7951898388685237
191.0,0.7951183856112436
192.0,0.7881946352153772
193.0,0.7878691544241173
194.0,0.7904507217727617
195.0,0.7931561339511911
196.0,0.7959013820085296
197.0,0.7953821928074424
198.0,0.7965495374159383
199.0,0.798936310881593
200.0,0.8020546984290066
