epoch,loss_val
1.0,0.1382448822259903
2.0,0.0980512797832489
3.0,0.07696279883384705
4.0,0.11105068773031235
5.0,0.07898068428039551
6.0,0.12264662981033325
7.0,0.10324208438396454
8.0,0.19020390510559082
9.0,0.14486081898212433
10.0,0.07650325447320938
11.0,0.12152604758739471
12.0,0.09313248842954636
13.0,0.08166839182376862
14.0,0.10822105407714844
15.0,0.13306549191474915
16.0,0.13096648454666138
17.0,0.08006671071052551
18.0,0.10578721761703491
19.0,0.08347094058990479
20.0,0.10728456825017929
21.0,0.1350352168083191
22.0,0.11332093924283981
23.0,0.16457140445709229
24.0,0.0653664693236351
25.0,0.09336047619581223
26.0,0.11916258931159973
27.0,0.12315119802951813
28.0,0.042880333960056305
29.0,0.0863310843706131
30.0,0.10394775122404099
31.0,0.15685589611530304
32.0,0.07759106159210205
33.0,0.08762526512145996
34.0,0.07669636607170105
35.0,0.12033813446760178
36.0,0.062121957540512085
37.0,0.09245821833610535
38.0,0.10463839769363403
39.0,0.10584436357021332
40.0,0.13761109113693237
41.0,0.07409979403018951
42.0,0.07691039890050888
43.0,0.1569386124610901
44.0,0.06507332623004913
45.0,0.12896735966205597
46.0,0.11105450242757797
47.0,0.07207579910755157
48.0,0.05331239104270935
49.0,0.11347677558660507
50.0,0.11618499457836151
